year,countycode,party,cand,votes,FIPS,,,,,,
2012,2,REP,ROMNEY,267,3,,,,,,
2012,2,REP,ROMNEY,227,3,,,,,,
2012,2,REP,ROMNEY,237,3,,,,,,
2012,2,REP,ROMNEY,185,3,,,,,,
2012,2,REP,ROMNEY,166,3,,,,,,
2012,2,REP,ROMNEY,177,3,,,,,,
2012,2,REP,ROMNEY,237,3,,,,,,
2012,2,REP,ROMNEY,223,3,,,,,,
2012,2,REP,ROMNEY,247,3,,,,,,
2012,2,REP,ROMNEY,268,3,,,,,,
2012,2,REP,ROMNEY,255,3,,,,,,
2012,2,REP,ROMNEY,312,3,,,,,,
2012,2,REP,ROMNEY,491,3,,,,,,
2012,2,REP,ROMNEY,231,3,,,,,,
2012,2,REP,ROMNEY,200,3,,,,,,
2012,2,REP,ROMNEY,237,3,,,,,,
2012,2,REP,ROMNEY,233,3,,,,,,
2012,2,REP,ROMNEY,254,3,,,,,,
2012,2,REP,ROMNEY,261,3,,,,,,
2012,2,REP,ROMNEY,164,3,,,,,,
2012,2,REP,ROMNEY,310,3,,,,,,
2012,2,REP,ROMNEY,147,3,,,,,,
2012,2,REP,ROMNEY,375,3,,,,,,
2012,2,REP,ROMNEY,244,3,,,,,,
2012,2,REP,ROMNEY,327,3,,,,,,
2012,2,REP,ROMNEY,377,3,,,,,,
2012,2,REP,ROMNEY,633,3,,,,,,
2012,2,REP,ROMNEY,384,3,,,,,,
2012,2,REP,ROMNEY,409,3,,,,,,
2012,2,REP,ROMNEY,365,3,,,,,,
2012,2,REP,ROMNEY,468,3,,,,,,
2012,2,REP,ROMNEY,482,3,,,,,,
2012,2,REP,ROMNEY,304,3,,,,,,
2012,2,REP,ROMNEY,415,3,,,,,,
2012,2,REP,ROMNEY,249,3,,,,,,
2012,2,REP,ROMNEY,231,3,,,,,,
2012,2,REP,ROMNEY,542,3,,,,,,
2012,2,REP,ROMNEY,364,3,,,,,,
2012,2,REP,ROMNEY,387,3,,,,,,
2012,2,REP,ROMNEY,377,3,,,,,,
2012,2,REP,ROMNEY,495,3,,,,,,
2012,2,REP,ROMNEY,422,3,,,,,,
2012,2,REP,ROMNEY,319,3,,,,,,
2012,2,REP,ROMNEY,248,3,,,,,,
2012,2,REP,ROMNEY,176,3,,,,,,
2012,2,REP,ROMNEY,457,3,,,,,,
2012,2,REP,ROMNEY,176,3,,,,,,
2012,2,REP,ROMNEY,308,3,,,,,,
